id,userId,mainQuestId,subQuestId,themeId,type,content,contry,agreeCnt,reportCnt
1,1,1,,1,1,애인과 같이 카페에서 수다떨기 입니다~!,KR,34,0
2,2,1,,1,1,빡센 일 끝나고 맥주에 라면 먹을때,KR,111,0
3,2,2,,1,1,뼈때리기. 다른 친구들에게 현실을 인지하게 해준다.,US,123,1
4,3,1,,1,1,"남사친, 여사친 가깝지 않은 사이로 지내는 것이 좋은 것 같다",EU,34,0
5,3,2,,1,1,"정수기, 라이터, 생존법책",EU,345,3
6,3,3,,1,1,라스베가스,US,12,0
7,4,1,,1,1,뒤뜰에 사과나무를 심었다.,JP,34,0
8,4,2,,1,1,없다.,KR,222,0
9,4,3,,1,1,힘이 쎕니다. 운동을 꾸준히 하고 있어서 건강이 저의 장점 입니다. ,KR,12,1
10,4,4,,1,1,남사친 여사친은 존재하면 안됩니다.,JP,23,3
11,5,1,,1,1,고양이 배를 살살 만지면 보들보들 해서 힐링이 됩니다.,JP,1,0
12,5,2,,1,1,힘든 일을 마무리 짓고 보상을 받았을 때 였습니다. 최근 중 가장 보람찬 하루였습니다.,CN,3,0
13,5,3,,1,1,목표가 있다면 계획을 잘 세워 이룬다는 점 입니다. 성실함이 저의 장점입니다.,CN,44,0
14,5,4,,1,1,강한 스킨쉽만 아니라면 인생에서 좋은 친구라고 생각합니다.,EU,12,0
15,5,5,,1,1,"미술관의 제일 비싼 미술품과 지루함을 달랠 재밌는 소설, 음식.",CN,234,4
16,1,,5,1,2,책냄새와 함께 현실세계와 이탈되는 느낌,US,45,0
17,1,,8,1,2,전혀 못먹는다. ,KR,566,0
18,2,,12,1,2,안동. 밤에 월향교에서 보는 야경은 좋다.,CN,77,0
19,2,,22,1,2,기생충!! 추천합니다. 봉테일의 영화는 모두 추천해요.,KR,4,0
20,2,,16,1,2,저는 운동하겠다고 샀는데 2번하고 계속 누워있어요 ㅎ,KR,7,0
21,2,,2,1,2,....뭐지? 까투리는 뭐였지?,CN,89,0
22,3,,4,1,2,만화책도 가능인가요? 그렇다면 저는 원피스 ,EU,543,0
23,3,,5,1,2,10줄 읽고..내일 읽어야겠다! ㅎ,CN,23,1
24,3,,12,1,2,저는 대만이 제일 좋았어요! 맛있는 음식을 먹는걸 좋아해서요. 거기서 먹은 밀크티가 생각나네요ㅠㅠㅠ다시 가고 싶은데 코로나 때문에 기약이 없네요ㅠㅠㅠ그래도 그때까지 예전에 찍은 사진들을 보며 참아야겠어요,CN,56,0
25,3,,14,1,2,"20대는 연봉, 30대는 워라벨입니다",US,88,0
26,3,,3,1,2,골 골골 골이에요~~,KR,123,0
27,3,,15,1,2,취업 후 첫달 번 돈 다쓰기....너무 쉽겠다 ㅎ,KR,46,3
28,4,,13,1,2,공무원이 쵝오!>_<,KR,78,0
29,4,,1,1,2,마지막 군주요? 마군...마구니가 꼈구나,JP,45,0
30,4,,2,1,2,꿩의 새끼는 꿩새끼 아닌가요? 꿩새끼,JP,333,0
31,4,,13,1,2,목표로 하고 있는 꿈은 있습니다만..건물주....다시 태어나도 안될듯,EU,23,0
32,5,,22,1,2,재미있는 한국 영화 알포인트 추천드립니다^0^,US,477,0
33,5,,24,1,2,오! 츄르 사신다면 참여하고 싶습니다! 쪽지 보내놓겠습니다!,KR,345,0
34,5,,25,1,2,엄빠한테 사진이랑 동영상 엄청 요청해서 저장해놓는데도...보고싶어 죽겠어요ㅠㅠㅠㅠㅠ꼬순내 맡고 싶다,KR,333,0
35,5,,1,1,2,마지막 군주요? 더킹 영원의 군주는 아는데요...,JP,23,0
