id,categoryId,writerId,title,IsPass,votePassCnt,voteFailCnt,agreeCnt
1,1,1,한국사에 있어 마지막 군주는 누구인가요?,1,100,0,5
2,1,2,"소의 새끼는 송아지라고 부르고, 닭의 새끼는 병아리라고 부릅니다. 그렇다면 꿩의 새끼는 무엇이라고 부를까요?",1,100,0,6
3,1,3,"흔히 성가시고 귀찮을 때 ""골치가 아프다""라고 말들 합니다. 여기서 ""골치""란 우리 몸의 어디를 가르키는 말일까요?",1,100,0,7
4,2,4,나만의 인생 책은 무엇인가요? 그 책을 읽고 어떤 감동을 느꼈었나요?,1,100,0,8
5,2,5,새로운 책을 펼쳤을때의 느낌을 알려주세요.,1,100,0,9
6,2,1,책일기 좋은 시간은 언제인가요? 나만의 도서 공간이 있다면 그것도 알려주세요.,1,100,0,10
7,3,2,살고 있는 동네에 나만 아는 맛집을 알려주세요.,1,100,0,11
8,3,3,매운 음식을 좋아하나요? 어느정도의 맵기까지 드실 수 있으신가요?,1,100,0,12
9,3,4,얼죽아 이신가요? 아니면 뜨아를 좋아하시나요?,1,100,0,13
10,4,5,여행 가면 주로 누구와 함께 가시나요? 그 사람과 같이 가면 어떤 장점이 있나요?,1,100,0,14
11,4,1,여행에서 재미있었던 일화를 말해주세요.,1,100,0,15
12,4,2,여행 했던 장소 중 제일 좋았던 곳은 어디 인가요? 그 이유도 알려주세요.,1,100,0,16
13,5,3,목표로 하고 있는 회사가 있나요? 있다면 이유도 알려주세요.,1,100,0,17
14,5,4,연봉과 워라밸 중 더 선호하는 것은 무엇인가요?,1,100,0,18
15,5,5,취업 후 가장 해보고싶은 것은 무엇인가요?,1,100,0,5
16,6,1,링피트 사신분들!!!잘하고 계시나요??,1,100,0,6
17,6,2,현질 얼마까지 해봤나요?,1,100,0,7
18,6,3,모바일 게임 추천 좀 해주세요! 갓겜 받습니다!!,1,100,0,5
19,7,4,회사사람들이랑 넷플 공유 삽가능?,1,100,0,6
20,7,5,기분 전환용 영화 추천해주세요!,1,100,0,7
21,7,1,이번에 개봉한 공포 영화 '랑X' 보신분...? 혼자 볼 수 있을 정도인가요?,1,100,0,8
22,7,2,재미있는 한국 영화 추천해주세요!,1,100,0,5
23,8,3,이제껏 실제로 본 야생 동물 중 가장 기억에 남는 동물은? -> 참고로 저는 고라니.....,1,100,0,5
24,8,4,혹시 길냥이들 돌봐주시고 계신 분들 중에 간식 공구하실 분들 있으신가요?,1,100,0,6
25,8,5,유학하고 계시거나 멀리서 자취하고 계신 분들 중에 반려견이 너무 보고싶으면 어떻게 하시나요?,1,100,0,5
26,1,3,모의고사는 몇 등급 나오나요?,0,7,120,0
27,2,4,애인이 있나요?,0,7,120,0
28,3,5,연봉은 얼마 받고 있나요?,0,7,120,0
29,4,3,ㄴㄴㄴㄴ,0,7,120,0
30,5,4,ㅋㅋㅋㅋㅋㅋㅋ,0,7,120,0
31,6,5,나 등산 갔다.,0,7,120,0
32,7,3,너 꼰대 지?,0,7,120,0
33,8,4,빨간 맛~ ,0,7,120,0
